Masked Account ID,Maked Primary Campaign,Stage,Account Type,Billing Zip/Postal Code,Fiscal Period,Close Date,Amount
0913,None,Closed Won,Corporate,,Q1-2014,2/5/2014,52
0913,None,Closed Won,Corporate,,Q4-2016,10/10/2016,1000
0914,None,Closed Won,Household,20036,Q2-2014,6/16/2014,50
0915,None,Closed Won,Household,90038,Q3-2016,8/27/2016,50
0922,None,Closed Won,Household,,Q3-2018,9/27/2018,50
0925,None,Closed Won,Household,,Q4-2015,12/30/2015,50
0929,None,Closed Won,Household,,Q4-2014,12/31/2014,50
0931,None,Closed Won,Household,,Q4-2015,12/30/2015,50
0941,None,Closed Won,Household,,Q4-2020,10/20/2020,50
0941,None,Closed Won,Household,,Q3-2022,8/12/2022,58
0946,None,Closed Won,Household,90045,Q4-2020,12/30/2020,50
0946,None,Closed Won,Household,90045,Q4-2022,12/31/2022,200
0949,None,Closed Won,Household,,Q4-2015,12/30/2015,50
0953,None,Closed Won,Household,90806,Q3-2020,9/2/2020,50
0954,None,Closed Won,Household,,Q3-2019,9/20/2019,50
0958,None,Closed Won,Household,90732,Q3-2020,9/16/2020,50
0959,None,Closed Won,Household,06517,Q4-2014,12/11/2014,50
0963,None,Closed Won,Household,91607,Q3-2022,7/21/2022,25
0966,None,Closed Won,Household,90049,Q4-2014,12/31/2014,50
0966,None,Closed Won,Household,90049,Q2-2016,6/19/2016,50
0966,None,Closed Won,Household,90049,Q2-2014,6/9/2014,30
0968,None,Closed Won,Household,,Q4-2015,12/30/2015,50
0970,None,Closed Won,Household,91606,Q3-2019,8/14/2019,50
0975,None,Closed Won,Household,75024,Q2-2015,6/17/2015,50
0977,None,Closed Won,Household,,Q3-2018,9/20/2018,50
0981,None,Closed Won,Household,85254,Q3-2016,8/15/2016,50
0985,None,Closed Won,Household,,Q4-2015,12/30/2015,50
0986,None,Closed Won,Household,,Q4-2015,12/30/2015,50
0996,None,Closed Won,Household,,Q2-2020,6/4/2020,50
0997,None,Closed Won,Household,91324,Q3-2019,8/13/2019,50
1003,None,Closed Won,Household,91601,Q1-2020,2/17/2020,50
1004,None,Closed Won,Household,91316,Q1-2015,3/27/2015,50
1009,None,Closed Won,Household,91325,Q1-2014,3/30/2014,40
1011,None,Closed Won,Household,37203,Q2-2014,4/17/2014,40
1015,None,Closed Won,Household,90016,Q3-2016,7/25/2016,40
1019,None,Closed Won,Household,90265,Q3-2020,8/22/2020,36
1023,None,Closed Won,Household,22901,Q3-2020,9/17/2020,30
